,verifikasi_skm,tata_cara_pembayaran,permasalahan_sibaku,pengambilan_ijazah_non_prosesi,daftar_ulang,bantuan_ukt,sisa_tagihan_50,pengajuan_transkrip_keperluan_beasiswa_mhs_do_semhas_validasi_kps_dll,form_pasca_ujian_skripsi,peminjaman_ijazah,perubahan_judul_skripsi,foto_yudisium_sc218,registrasi_mahasiswa_lama,tahapan_pendaftaran_wisuda,pengambilan_ktm,perihal_kehilangan_transkrip_nilai_kuliah,layanan,kriteria_50,bantuan_ukt_dan_ukt_kemendikbud_ristek,ktm_tersedia,pengajuan_bantuan,pengambilan_sertifikat_toefl,surat_rekomendasi_beasiswa,dosen_pembimbing_ujian_skripsi_tidak_hadir_salah_satu,pencairan_saldo_ukt,kip_kuliah,tidak_dapat_upload_berkas_yudisium,bebas_pustaka_ub,pendaftaran_seminar_hasil_ujian_skripsi_filkom_ub,revisi_skripsi,foto_yudisium,turnitin,sapaan,perubahan_judul_skripsi_filkom_apps,legalisir_ijazah,cara_daftar_bantuan_kemendikbud_ristek,perkuliahan_hybrid,proposal_skripsi_di_luar_jadwal_jtif,cek_siam_untuk_tagihan,surat_aktif_kuliah,kkn_2020,terlambat_pengajuan_bantuan,kip_k,turnitin_prasyarat_sd_melihat_hasil_turnitin,rekomendasi_magang_dan_mbkm,perpindahan_prodi_akreditasi_b_ke_a,pencairan_beasiswa_kemendikbud,angsur_sap,yudisium,banding_ukt_mahasiswa,layanan_ruang_baca_filkom_ub,pendaftaran_yudisium_filkom_ub,presensi_perkuliahan,surat_pengantar_penelitian_skripsi,pembatalan_mk_pkl_skripsi,rekomendasi_magang_mandiri_dan_mbkm,pendataan_kelas_penuh,ukt_mhs_ujian_skripsi_belum_yudisium_selain_kritis,penambahan_sks_melebihi_batas_maksimum_mk_dari_ip_beban_jtif,pengajuan_st_dospem_dan_reward_prestasi,pengajuan_proposal_skripsi_di_luar_jadwal_jtif,transkrip_legalisir
verifikasi_skm,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tata_cara_pembayaran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
permasalahan_sibaku,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pengambilan_ijazah_non_prosesi,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daftar_ulang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bantuan_ukt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sisa_tagihan_50,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pengajuan_transkrip_keperluan_beasiswa_mhs_do_semhas_validasi_kps_dll,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
form_pasca_ujian_skripsi,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
peminjaman_ijazah,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
