topik,pertanyaan
PENGAJUAN BANTUAN,"<p>Terima kasih atas jawaban yang bapak/ibu berikan.</p> <p>Mohon maaf, informasi jadwal pengajuan bantuan keuangan sebelumnya kami belum mengetahuinya.</p> <p>Mohon kiranya pihak Rektorat dan Fakultas memberikan kebijakan pengurangan uang kuliah tunggal anak saya atau memberikan Beasiswa Abadi Universitas Brawwijaya</p> <p>Atas bantuannya saya ucapkan terima kasih.</p> <p>Hormat saya,</p> <p><span style=""font-size:1em"">Parlindungan Nainggolan</span><br /></p>"
PENGAJUAN BANTUAN,<p>Saya sudah melakukan pengajuan bantuan keuangan kategori pengurangan UKT. Sampai saat ini tagihan UKT saya di SIAM masih belum ada perubahan. Terimakasih</p>
PENGAJUAN BANTUAN,"<p>Terimakasih bpk/Ibu..</p> <p>sbg informasi pengumuman kelulusan hasil seleksi mandiri alih jenjang Filkom tertanggal 12 Agustus 2021, informasi yg kami terima bahwa peserta seleksi yg berasal dari vokasi UB mendapatkan potongan </p> <p>biaya pendidikan kategori IPI sebesar 50 %, dan diajukan setelah  diterima sbg mahasiswa UB.</p> <p>Bagaimana ya bpk/Ibu tgl pengajuan bantuan keuangan mulai 19-28 Juli 2021 tsb, sedangkan kami ikut tes seleksi masuk setelah tgl tsb yaitu tgl 3 Agustus 2021 dan pengumuman hasil seleksi tgl 12 Agustus 2021</p> <p>Terima kasih..</p>"
PENGAJUAN BANTUAN,"<p>Dalam proses pengajuan bantuan keuangan untuk mahasiswa lama, terjadi error pada form data diri khususnya inputan kolom fakultas dan prodi serta tombol form selanjutnya. Mohon bantuannya agar mahasiswa dapat mengakses bantuan keuangan.</p><figure><img src=""cid:xuueiyqod2_z-lnelcbd7kfrr4tmvybo"" data-image=""xuueIYQOd2_z-LNeLcbd7KfrR4TmVybo"" alt=""image"" /></figure><figure><img src=""cid:nhgseikyzmb_7mxauh1zl8if4mimtsmu"" data-image=""nHGSeiKyzMb_7MXauH1ZL8If4mIMTsMU"" alt=""image"" /></figure>"
PENGAJUAN BANTUAN,"<p>Mohon maaf yang dimaksud dengan Akumulasi ini apakah antara (jumlah angsuran terakhir pada semester sebelumnya + jumlah angsuran pertama pada semester baru (genap 2021/2022) yang harus dibayarkan sebelum taggal 24 januari - 03 februari 2022?. </p> <p>Jadi apakah artianya juga ketika anggsuran sebelumnya belum bisa diselesaikan maka pengajuan bantuan keuangan pada semester genap 2021/2022 tidak bisa diproses? Apakah benar begitu, mohon maaf saya masih sedikit binggung?</p> <p>Dan maksud saya sebelumnya, apakah bisa pengajuan angsuran untuk semester genap ini dibayarkan dulu sesuai jadwal yaitu tanggal 24-3 februari 2022 dan nanti setelah jadwal seminar hasil saya keluar angsuran pada semester sebelumnya saya bayarkan(sekitar bulan februari)?</p> <p>dan juga saya mau bertanya ketika semester depan studi saya sudah selesai sebelum akhir semester apakah anggsuran untuk semester genap tetap harus dibayarkan penuh? Atau mungkin ada kebijakan tertentu, untuk itu mohon arahanya kembali. Terima kasih</p>"
PENGAJUAN BANTUAN,"<p>Selamat pagi Bapak/Ibu, izin bertanya apakah pengajuan bantuan keuangan atas nama Fanny Nugrahani ditolak? Karena sampai sekarang belum ada perubahan di siam.</p>"
PENGAJUAN BANTUAN,"<p>Assalamu'alaikum WR WB pak/ibu. Saya Muhammad Hasbi Ashshiddiqi dari Sistem informasi 2015, ingin bertanya. Pada Saat ini saya sedang melakukan tahap pengajuan Yudisium pada Filkom Apps, yang mana saat kemarin saya tidak melakukan pengajuan bantuan keuangan pada keuangan.ub.ac.id dengan batas waktu 12 Januari 2022. Saya ingin bertanya pak/ibu, pada surat dibawah ini dalam SK F15 58 Pemberitahuan potongan UKT Yudisium, terdapat potong UKT untuk kegiatan yudisium sesuai dengan tanggal penyelesaiannya kegiatan yudisium tersebut, apakah isi surat ini berlaku bagi mereka yang sudah melakukan pengajuan bantuan keuangan kemarin sampai tgl 12 januari ? atau surat ini berlaku juga bagi mereka yang tidak melakukan pengajuan bantuan keuangan ? karena saya kemarin tidak melakukan pengajuan bantuan keuangan, dikarenakan kurang mendapatkan informasi terkait. Terimakasih banyak pak/ibu.</p>"
PENGAJUAN BANTUAN,"<p>Selamat siang, izin bertanya terkait data pada pengajuan bantuan keuangan atas nama Noor Leona Asiyah dengan NIM 215150407111024 jurusan Sistem Informasi, apakah data yang saya ajukan masuk dan diterima karena bedasarkan hasil keputusan pada siam tertera pada keterangan bahwa data tidak memenuhi. Dan data yang saya berikan dengan sebenar benarnya. Terimakasih </p>"
PENGAJUAN BANTUAN,"<p>Untuk pengajuan bantuan keuangan, seingat saya dulu mengajukan Pembebasan Sementara karena saya telah mencapai tahap selesai sidang skripsi sekarang menuju pendaftaran yudisium , tetapi di SIAM tertulis pengajuan Perubahan Kelompok UKT<br /></p>"
PENGAJUAN BANTUAN,"<p>Selamat siang, izin bertanya terkait data pada pengajuan bantuan keuangan atas nama Noor Leona Asiyah dengan NIM 215150407111024 jurusan Sistem Informasi, apakah data yang saya ajukan masuk dan diterima karena bedasarkan hasil keputusan pada siam tertera pada keterangan bahwa data tidak memenuhi. Dan data yang saya berikan dengan sebenar benarnya. Terimakasih </p>"
