,precision,recall,f1-score,support
1,0.0,0.0,0.0,1.0
2,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
3,0.8,0.9230769230769231,0.8571428571428571,13.0
5,0.4230769230769231,0.7333333333333333,0.5365853658536585,30.0
6,0.36,0.6,0.45,30.0
10,0.0,0.0,0.0,3.0
11,0.0,0.0,0.0,1.0
12,1.0,1.0,1.0,2.0
13,0.41025641025641024,0.5333333333333333,0.463768115942029,30.0
15,0.7,0.7,0.7,30.0
16,0.3902439024390244,0.5333333333333333,0.4507042253521127,30.0
19,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0
20,0.6,1.0,0.7499999999999999,9.0
21,0.25333333333333335,0.6333333333333333,0.3619047619047619,30.0
22,1.0,0.4,0.5714285714285715,5.0
23,1.0,0.75,0.8571428571428571,4.0
24,0.20754716981132076,0.7333333333333333,0.32352941176470584,30.0
25,0.0,0.0,0.0,7.0
26,0.5,0.2222222222222222,0.30769230769230765,9.0
29,0.5263157894736842,0.425531914893617,0.4705882352941176,47.0
30,0.2222222222222222,0.2,0.2105263157894737,30.0
33,0.7388059701492538,1.0,0.8497854077253219,99.0
34,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
35,0.4528301886792453,0.8,0.5783132530120482,30.0
41,0.0,0.0,0.0,1.0
44,0.037037037037037035,1.0,0.07142857142857142,1.0
45,0.8947368421052632,0.5666666666666667,0.6938775510204083,30.0
46,0.5,0.21428571428571427,0.3,14.0
48,0.5555555555555556,0.5,0.5263157894736842,30.0
49,1.0,0.125,0.2222222222222222,8.0
50,1.0,0.25,0.4,4.0
51,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
52,0.6666666666666666,0.4,0.5,30.0
53,0.3488372093023256,0.5,0.4109589041095891,30.0
54,1.0,0.7142857142857143,0.8333333333333333,7.0
55,0.55,0.36666666666666664,0.43999999999999995,30.0
56,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,5.0
60,0.0,0.0,0.0,6.0
61,0.35,0.23333333333333334,0.28,30.0
63,0.8333333333333334,0.3333333333333333,0.47619047619047616,30.0
64,0.5283018867924528,1.0,0.6913580246913581,56.0
65,0.5833333333333334,0.4666666666666667,0.5185185185185186,30.0
66,1.0,0.5,0.6666666666666666,4.0
67,0.25,0.13333333333333333,0.1739130434782609,30.0
68,0.875,0.4666666666666667,0.608695652173913,30.0
70,0.75,0.1,0.17647058823529416,30.0
71,0.0,0.0,0.0,2.0
73,0.0,0.0,0.0,1.0
74,0.0,0.0,0.0,6.0
76,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
77,0.6923076923076923,0.6,0.6428571428571429,15.0
81,0.0,0.0,0.0,1.0
82,0.3888888888888889,0.23333333333333334,0.2916666666666667,30.0
83,0.5,0.2,0.28571428571428575,30.0
87,0.0,0.0,0.0,2.0
88,0.0,0.0,0.0,30.0
89,0.25,0.3333333333333333,0.28571428571428575,3.0
90,0.8333333333333334,0.9259259259259259,0.8771929824561403,27.0
91,1.0,0.4,0.5714285714285715,5.0
93,0.8,0.6666666666666666,0.7272727272727272,30.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
98,0.0,0.0,0.0,4.0
99,0.5333333333333333,0.8,0.64,30.0
100,0.0,0.0,0.0,1.0
102,0.5,0.2571428571428571,0.33962264150943394,35.0
103,0.6642335766423357,0.8272727272727273,0.7368421052631577,110.0
105,0.5,0.3,0.37499999999999994,30.0
107,0.0,0.0,0.0,2.0
109,0.6666666666666666,0.06666666666666667,0.1212121212121212,30.0
111,0.0,0.0,0.0,6.0
113,0.0,0.0,0.0,1.0
114,0.4444444444444444,0.4,0.4210526315789474,30.0
115,0.3,0.1,0.15,30.0
116,0.0,0.0,0.0,1.0
118,1.0,0.5,0.6666666666666666,2.0
120,0.0,0.0,0.0,3.0
122,0.675,0.9642857142857143,0.7941176470588236,28.0
123,0.42857142857142855,0.1,0.16216216216216217,30.0
accuracy,0.5347091932457786,0.5347091932457786,0.5347091932457786,0.5347091932457786
macro avg,0.44878388256739576,0.386912667554751,0.3765412721770167,1599.0
weighted avg,0.5526757460114329,0.5347091932457786,0.504389170472723,1599.0
