,precision,recall,f1-score,support
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,7.0
3,0.9,0.6923076923076923,0.7826086956521738,13.0
5,0.5,0.23333333333333334,0.3181818181818182,30.0
6,0.7222222222222222,0.43333333333333335,0.5416666666666666,30.0
10,1.0,0.3333333333333333,0.5,3.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,2.0
13,0.9166666666666666,0.36666666666666664,0.5238095238095238,30.0
15,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
16,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
19,0.65,0.43333333333333335,0.5199999999999999,30.0
20,1.0,0.2222222222222222,0.3636363636363636,9.0
21,0.75,0.1,0.17647058823529416,30.0
22,0.0,0.0,0.0,5.0
23,1.0,0.75,0.8571428571428571,4.0
24,1.0,0.16666666666666666,0.2857142857142857,30.0
25,0.0,0.0,0.0,7.0
26,1.0,0.4444444444444444,0.6153846153846153,9.0
29,0.4666666666666667,0.7446808510638298,0.5737704918032787,47.0
30,0.5714285714285714,0.26666666666666666,0.36363636363636365,30.0
33,0.5625,1.0,0.72,99.0
34,0.9130434782608695,1.0,0.9545454545454545,21.0
35,0.625,0.5,0.5555555555555556,30.0
41,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,1.0
45,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
46,1.0,0.07142857142857142,0.13333333333333333,14.0
48,0.4782608695652174,0.7333333333333333,0.5789473684210527,30.0
49,1.0,0.25,0.4,8.0
50,1.0,0.25,0.4,4.0
51,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
52,0.6046511627906976,0.8666666666666667,0.7123287671232877,30.0
53,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
54,1.0,0.8571428571428571,0.923076923076923,7.0
55,0.5833333333333334,0.4666666666666667,0.5185185185185186,30.0
56,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,5.0
60,1.0,0.5,0.6666666666666666,6.0
61,0.5714285714285714,0.4,0.47058823529411764,30.0
63,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0
64,0.7368421052631579,1.0,0.8484848484848484,56.0
65,0.9545454545454546,0.7,0.8076923076923077,30.0
66,1.0,0.25,0.4,4.0
67,0.7894736842105263,0.5,0.6122448979591837,30.0
68,0.8055555555555556,0.9666666666666667,0.8787878787878789,30.0
70,0.6666666666666666,0.5333333333333333,0.5925925925925926,30.0
71,0.0,0.0,0.0,2.0
73,0.0,0.0,0.0,1.0
74,1.0,0.6666666666666666,0.8,6.0
76,0.6363636363636364,0.9333333333333333,0.7567567567567568,30.0
77,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
81,0.0,0.0,0.0,1.0
82,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
83,0.64,0.5333333333333333,0.5818181818181818,30.0
87,0.0,0.0,0.0,2.0
88,0.75,0.7,0.7241379310344827,30.0
89,0.0,0.0,0.0,3.0
90,0.6857142857142857,0.8888888888888888,0.7741935483870968,27.0
91,1.0,0.4,0.5714285714285715,5.0
93,0.9375,0.5,0.6521739130434783,30.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.9230769230769231,0.8,0.8571428571428571,30.0
98,1.0,0.25,0.4,4.0
99,0.5272727272727272,0.9666666666666667,0.6823529411764705,30.0
100,0.0,0.0,0.0,1.0
102,0.5581395348837209,0.6857142857142857,0.6153846153846154,35.0
103,0.35973597359735976,0.990909090909091,0.5278450363196127,110.0
105,1.0,0.16666666666666666,0.2857142857142857,30.0
107,0.0,0.0,0.0,2.0
109,0.7222222222222222,0.43333333333333335,0.5416666666666666,30.0
111,0.0,0.0,0.0,6.0
113,0.0,0.0,0.0,1.0
114,0.6,0.4,0.48,30.0
115,0.5833333333333334,0.23333333333333334,0.33333333333333337,30.0
116,0.0,0.0,0.0,1.0
118,0.0,0.0,0.0,2.0
120,0.0,0.0,0.0,3.0
122,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
123,0.9090909090909091,0.3333333333333333,0.4878048780487804,30.0
accuracy,0.6197623514696685,0.6197623514696685,0.6197623514696685,0.6197623514696685
macro avg,0.5529484142741746,0.3989225296113536,0.423407385577596,1599.0
weighted avg,0.6767044054169554,0.6197623514696685,0.5885820902402904,1599.0
