,precision,recall,f1-score,support
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,7.0
3,1.0,1.0,1.0,13.0
5,0.84,0.7,0.7636363636363636,30.0
6,0.71875,0.7666666666666667,0.7419354838709677,30.0
10,1.0,0.6666666666666666,0.8,3.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,2.0
13,1.0,0.9666666666666667,0.983050847457627,30.0
15,0.967741935483871,1.0,0.9836065573770492,30.0
16,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
19,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0
20,0.9,1.0,0.9473684210526316,9.0
21,0.9375,1.0,0.967741935483871,30.0
22,1.0,1.0,1.0,5.0
23,1.0,1.0,1.0,4.0
24,0.8125,0.8666666666666667,0.8387096774193549,30.0
25,0.5,0.42857142857142855,0.4615384615384615,7.0
26,1.0,1.0,1.0,9.0
29,0.9791666666666666,1.0,0.9894736842105264,47.0
30,1.0,0.7,0.8235294117647058,30.0
33,0.9705882352941176,1.0,0.9850746268656716,99.0
34,0.9130434782608695,1.0,0.9545454545454545,21.0
35,0.896551724137931,0.8666666666666667,0.8813559322033899,30.0
41,1.0,1.0,1.0,1.0
44,0.0,0.0,0.0,1.0
45,1.0,0.9666666666666667,0.983050847457627,30.0
46,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
48,0.7714285714285715,0.9,0.8307692307692307,30.0
49,1.0,1.0,1.0,8.0
50,1.0,0.75,0.8571428571428571,4.0
51,0.9444444444444444,1.0,0.9714285714285714,17.0
52,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
53,0.8709677419354839,0.9,0.8852459016393444,30.0
54,1.0,1.0,1.0,7.0
55,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
56,1.0,1.0,1.0,1.0
58,0.6666666666666666,0.8,0.7272727272727272,5.0
60,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
61,0.9,0.9,0.9,30.0
63,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
64,0.8484848484848485,1.0,0.9180327868852458,56.0
65,0.9354838709677419,0.9666666666666667,0.9508196721311476,30.0
66,1.0,1.0,1.0,4.0
67,0.875,0.7,0.7777777777777777,30.0
68,1.0,1.0,1.0,30.0
70,1.0,0.9,0.9473684210526316,30.0
71,1.0,1.0,1.0,2.0
73,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,6.0
76,0.8484848484848485,0.9333333333333333,0.888888888888889,30.0
77,0.875,0.9333333333333333,0.9032258064516129,15.0
81,1.0,1.0,1.0,1.0
82,1.0,0.9666666666666667,0.983050847457627,30.0
83,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
87,1.0,1.0,1.0,2.0
88,1.0,1.0,1.0,30.0
89,1.0,1.0,1.0,3.0
90,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
91,1.0,1.0,1.0,5.0
93,1.0,0.9666666666666667,0.983050847457627,30.0
95,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0
97,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
98,1.0,1.0,1.0,4.0
99,0.90625,0.9666666666666667,0.9354838709677419,30.0
100,1.0,1.0,1.0,1.0
102,1.0,1.0,1.0,35.0
103,0.9814814814814815,0.9636363636363636,0.9724770642201834,110.0
105,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
107,1.0,1.0,1.0,2.0
109,0.9655172413793104,0.9333333333333333,0.9491525423728815,30.0
111,1.0,0.8333333333333334,0.9090909090909091,6.0
113,0.5,1.0,0.6666666666666666,1.0
114,0.625,0.5,0.5555555555555556,30.0
115,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
116,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,2.0
120,1.0,1.0,1.0,3.0
122,0.9655172413793104,1.0,0.9824561403508771,28.0
123,0.9629629629629629,0.8666666666666667,0.912280701754386,30.0
accuracy,0.9099437148217636,0.9099437148217636,0.9099437148217636,0.9099437148217636
macro avg,0.9143555252538282,0.9114688923330897,0.9099523455488845,1599.0
weighted avg,0.9120440448279106,0.9099437148217636,0.90905396847346,1599.0
