,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,7.0
3,1.0,1.0,1.0,13.0
4,0.0,0.0,0.0,0.0
5,1.0,0.5666666666666667,0.7234042553191489,30.0
6,0.9444444444444444,0.5666666666666667,0.7083333333333334,30.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.0,0.6666666666666666,0.8,3.0
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,2.0
13,1.0,0.9666666666666667,0.983050847457627,30.0
14,0.0,0.0,0.0,0.0
15,1.0,0.9666666666666667,0.983050847457627,30.0
16,0.9565217391304348,0.7333333333333333,0.8301886792452831,30.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.9047619047619048,0.6333333333333333,0.7450980392156863,30.0
20,0.9,1.0,0.9473684210526316,9.0
21,1.0,0.9333333333333333,0.9655172413793104,30.0
22,1.0,1.0,1.0,5.0
23,1.0,1.0,1.0,4.0
24,0.9130434782608695,0.7,0.7924528301886793,30.0
25,0.0,0.0,0.0,7.0
26,1.0,1.0,1.0,9.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,1.0,0.9787234042553191,0.989247311827957,47.0
30,1.0,0.7,0.8235294117647058,30.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.9705882352941176,1.0,0.9850746268656716,99.0
34,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
35,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,1.0,1.0,1.0,1.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,1.0
45,1.0,0.9666666666666667,0.983050847457627,30.0
46,1.0,0.7142857142857143,0.8333333333333333,14.0
47,0.0,0.0,0.0,0.0
48,0.9545454545454546,0.7,0.8076923076923077,30.0
49,1.0,1.0,1.0,8.0
50,1.0,0.75,0.8571428571428571,4.0
51,1.0,0.9411764705882353,0.9696969696969697,17.0
52,1.0,0.9333333333333333,0.9655172413793104,30.0
53,1.0,0.8333333333333334,0.9090909090909091,30.0
54,1.0,1.0,1.0,7.0
55,1.0,0.7,0.8235294117647058,30.0
56,1.0,1.0,1.0,1.0
57,0.0,0.0,0.0,0.0
58,1.0,0.4,0.5714285714285715,5.0
59,0.0,0.0,0.0,0.0
60,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
61,1.0,0.8,0.888888888888889,30.0
62,0.0,0.0,0.0,0.0
63,1.0,0.7666666666666667,0.8679245283018869,30.0
64,0.8484848484848485,1.0,0.9180327868852458,56.0
65,1.0,0.9333333333333333,0.9655172413793104,30.0
66,1.0,1.0,1.0,4.0
67,1.0,0.6,0.7499999999999999,30.0
68,1.0,1.0,1.0,30.0
69,0.0,0.0,0.0,0.0
70,1.0,0.9,0.9473684210526316,30.0
71,1.0,1.0,1.0,2.0
72,0.0,0.0,0.0,0.0
73,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,6.0
75,0.0,0.0,0.0,0.0
76,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
77,1.0,0.8,0.888888888888889,15.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,1.0,1.0,1.0,1.0
82,1.0,0.9666666666666667,0.983050847457627,30.0
83,1.0,0.8,0.888888888888889,30.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,1.0,1.0,1.0,2.0
88,1.0,1.0,1.0,30.0
89,1.0,1.0,1.0,3.0
90,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
91,1.0,1.0,1.0,5.0
92,0.0,0.0,0.0,0.0
93,1.0,0.9666666666666667,0.983050847457627,30.0
94,0.0,0.0,0.0,0.0
95,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0
97,0.9642857142857143,0.9,0.9310344827586207,30.0
98,1.0,1.0,1.0,4.0
