,precision,recall,f1-score,support
1,0.0,0.0,0.0,1.0
2,1.0,0.7142857142857143,0.8333333333333333,7.0
3,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
5,0.8,0.4,0.5333333333333333,30.0
6,0.5581395348837209,0.8,0.6575342465753425,30.0
10,1.0,0.3333333333333333,0.5,3.0
11,0.0,0.0,0.0,1.0
12,1.0,1.0,1.0,2.0
13,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
15,0.9090909090909091,1.0,0.9523809523809523,30.0
16,0.7575757575757576,0.8333333333333334,0.7936507936507938,30.0
19,0.6875,0.7333333333333333,0.7096774193548386,30.0
20,0.8181818181818182,1.0,0.9,9.0
21,0.7692307692307693,0.6666666666666666,0.7142857142857142,30.0
22,1.0,0.6,0.7499999999999999,5.0
23,1.0,1.0,1.0,4.0
24,0.27692307692307694,0.6,0.37894736842105264,30.0
25,0.0,0.0,0.0,7.0
26,1.0,0.5555555555555556,0.7142857142857143,9.0
29,0.7058823529411765,0.7659574468085106,0.7346938775510204,47.0
30,0.875,0.4666666666666667,0.608695652173913,30.0
33,0.9611650485436893,1.0,0.9801980198019802,99.0
34,0.9130434782608695,1.0,0.9545454545454545,21.0
35,0.8076923076923077,0.7,0.75,30.0
41,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,1.0
45,1.0,0.9666666666666667,0.983050847457627,30.0
46,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
48,0.4727272727272727,0.8666666666666667,0.611764705882353,30.0
49,1.0,0.5,0.6666666666666666,8.0
50,1.0,0.25,0.4,4.0
51,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
52,0.6818181818181818,1.0,0.8108108108108109,30.0
53,0.6923076923076923,0.9,0.7826086956521738,30.0
54,1.0,1.0,1.0,7.0
55,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
56,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,5.0
60,1.0,0.5,0.6666666666666666,6.0
61,0.625,0.6666666666666666,0.6451612903225806,30.0
63,0.8181818181818182,0.6,0.6923076923076923,30.0
64,0.8,1.0,0.888888888888889,56.0
65,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
66,0.0,0.0,0.0,4.0
67,0.72,0.6,0.6545454545454547,30.0
68,0.9310344827586207,0.9,0.9152542372881356,30.0
70,0.9545454545454546,0.7,0.8076923076923077,30.0
71,0.0,0.0,0.0,2.0
73,0.0,0.0,0.0,1.0
74,1.0,0.6666666666666666,0.8,6.0
76,0.7692307692307693,1.0,0.8695652173913044,30.0
77,1.0,0.6666666666666666,0.8,15.0
81,0.0,0.0,0.0,1.0
82,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
83,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0
87,0.0,0.0,0.0,2.0
88,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
89,0.0,0.0,0.0,3.0
90,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
91,1.0,0.2,0.33333333333333337,5.0
93,0.8333333333333334,1.0,0.9090909090909091,30.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
98,1.0,0.5,0.6666666666666666,4.0
99,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
100,0.0,0.0,0.0,1.0
102,0.7083333333333334,0.9714285714285714,0.8192771084337349,35.0
103,0.726027397260274,0.9636363636363636,0.828125,110.0
105,0.9090909090909091,0.6666666666666666,0.7692307692307692,30.0
107,0.0,0.0,0.0,2.0
109,0.96,0.8,0.8727272727272728,30.0
111,1.0,0.16666666666666666,0.2857142857142857,6.0
113,0.0,0.0,0.0,1.0
114,0.631578947368421,0.4,0.4897959183673469,30.0
115,0.5714285714285714,0.4,0.47058823529411764,30.0
116,0.0,0.0,0.0,1.0
118,0.0,0.0,0.0,2.0
120,0.0,0.0,0.0,3.0
122,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
123,1.0,0.4666666666666667,0.6363636363636364,30.0
accuracy,0.7754846779237023,0.7754846779237023,0.7754846779237023,0.7754846779237023
macro avg,0.6282286218123638,0.5467135098031743,0.5616878725712648,1599.0
weighted avg,0.7854742363760123,0.7754846779237023,0.7622945199675307,1599.0
