activation_hidden,activation_output,num_units1,num_units2,dropout,optimizer,Accuracy
relu,sigmoid,256.0,128.0,0.0,adam,0.921875
relu,sigmoid,256.0,64.0,0.0,adam,0.918749988079071
relu,softmax,256.0,256.0,0.5,adam,0.915624976158142
relu,sigmoid,128.0,256.0,0.5,adam,0.915624976158142
relu,softmax,256.0,128.0,0.5,adam,0.912500023841858
relu,sigmoid,64.0,256.0,0.5,adam,0.912500023841858
relu,softmax,256.0,256.0,0.0,adam,0.909375011920929
relu,sigmoid,256.0,128.0,0.5,adam,0.909375011920929
relu,softmax,256.0,64.0,0.0,adam,0.909375011920929
relu,sigmoid,256.0,256.0,0.5,adam,0.909375011920929
relu,softmax,128.0,128.0,0.0,adam,0.90625
relu,sigmoid,128.0,64.0,0.0,adam,0.90625
relu,softmax,64.0,256.0,0.5,adam,0.90625
relu,sigmoid,128.0,256.0,0.0,adam,0.90625
relu,softmax,128.0,64.0,0.0,adam,0.903124988079071
relu,sigmoid,64.0,256.0,0.0,adam,0.903124988079071
relu,sigmoid,256.0,256.0,0.0,adam,0.8999999761581421
relu,sigmoid,128.0,32.0,0.0,adam,0.8999999761581421
relu,softmax,128.0,32.0,0.0,adam,0.8999999761581421
relu,softmax,32.0,256.0,0.0,adam,0.8999999761581421
relu,softmax,128.0,256.0,0.5,adam,0.8999999761581421
relu,sigmoid,256.0,64.0,0.5,adam,0.8999999761581421
relu,softmax,64.0,128.0,0.0,adam,0.8999999761581421
relu,softmax,64.0,256.0,0.0,adam,0.8968750238418579
relu,softmax,32.0,256.0,0.5,adam,0.8968750238418579
relu,sigmoid,32.0,256.0,0.0,adam,0.8968750238418579
relu,sigmoid,128.0,128.0,0.5,adam,0.893750011920929
relu,sigmoid,128.0,64.0,0.5,adam,0.893750011920929
relu,sigmoid,128.0,128.0,0.0,adam,0.890625
relu,softmax,256.0,64.0,0.5,adam,0.890625
relu,softmax,64.0,128.0,0.5,adam,0.890625
relu,softmax,128.0,256.0,0.0,adam,0.890625
relu,sigmoid,256.0,32.0,0.0,adam,0.887499988079071
relu,softmax,256.0,32.0,0.0,adam,0.887499988079071
relu,softmax,256.0,128.0,0.0,adam,0.887499988079071
relu,sigmoid,32.0,128.0,0.0,adam,0.887499988079071
relu,sigmoid,64.0,128.0,0.0,adam,0.8843749761581421
relu,sigmoid,64.0,32.0,0.0,adam,0.8843749761581421
relu,softmax,128.0,128.0,0.5,adam,0.8843749761581421
relu,sigmoid,32.0,64.0,0.0,adam,0.8843749761581421
relu,softmax,64.0,64.0,0.0,adam,0.8812500238418579
relu,softmax,32.0,64.0,0.0,adam,0.8812500238418579
relu,sigmoid,64.0,128.0,0.5,adam,0.8812500238418579
relu,softmax,64.0,32.0,0.0,adam,0.8812500238418579
relu,sigmoid,64.0,64.0,0.0,adam,0.878125011920929
relu,softmax,32.0,128.0,0.0,adam,0.875
relu,sigmoid,32.0,256.0,0.5,adam,0.871874988079071
relu,softmax,256.0,32.0,0.5,adam,0.871874988079071
relu,sigmoid,32.0,32.0,0.0,adam,0.862500011920929
relu,softmax,128.0,64.0,0.5,adam,0.862500011920929
relu,sigmoid,256.0,32.0,0.5,adam,0.856249988079071
relu,softmax,32.0,32.0,0.0,adam,0.846875011920929
relu,sigmoid,32.0,128.0,0.5,adam,0.84375
sigmoid,sigmoid,256.0,256.0,0.0,adam,0.840624988079071
relu,softmax,32.0,128.0,0.5,adam,0.840624988079071
relu,softmax,64.0,64.0,0.5,adam,0.8374999761581421
relu,sigmoid,128.0,32.0,0.5,adam,0.8374999761581421
